abadi,5
absen,-3
abu-abu,-1
acuh,4
adil,5
aduh,-2
agresi,-5
aib,-5
ajaib,3
ajar,4
akal,4
alasan,-2
alibi,-4
alien,-1
aman,4
ambigu,-3
ambisi,-2
amoral,-5
anarki,-5
anarkis,-5
ancaman,-5
aneh,-2
anggun,4
angkuh,-5
anjing,-4
anomali,-3
antagoni,-4
anti-sosial,-4
antipati,-5
apes,-4
api,-1
arogan,-5
asam,-1
asap,-2
asing,-4
asli,4
asmara,4
astaga,-5
asyik,4
autentik,4
aversi,-4
awas,-4
awur,-4
ayam,1
ayu,4
azab,-5
babu,-5
bacot,-5
badai,-4
badut,-2
bagus,4
bahagia,4
bahaya,-4
baik,4
bail,-2
bajingan,-5
bakat,3
banci,-4
bandel,-4
bandit,-4
bangga,4
bangkrut,-5
banjir,-4
barbari,-5
basi,-4
batu,-1
bau,-4
baut,1
bawaan,-1
bawah,-1
bayaran,-3
beban,-2
bego,-5
bekas,-4
bekicot,-4
belahan,-1
benar,4
bencana,-4
benci,-5
bencong,-5
bendahara,-1
bengkok,-2
bening,3
bentrok,-4
beradab,5
beradaptasi,4
beragam,4
berani,4
berantakan,-4
berapi-api,1
berarti,3
berat,-2
berbagi,5
berbahaya,-4
berbakat,5
berbalik,1
berbaring,1
berbeda,1
berbisa,-4
berbohong,-5
berbuih,-1
bercanda,3
bercinta,4
berdalih,-3
berdarah,-2
berdaya,4
berdetak,1
berdosa,-4
berduka,-4
berduri,-2
bergembira,4
bergeming,-1
bergerak,4
bergulat,-2
bergumam,1
berguna,4
berharap,-1
berharga,4
berhasil,5
berhenti,-1
berisiko,-2
berjanji,-1
berjuang,4
berjudi,-5
berkabung,-3
berkaca,-4
berkarat,-3
berkat,3
berkelas,4
berkeliaran,-4
berkonspirasi,-5
berkualitas,4
berkubang,-2
berkurang,-2
berlagak,-4
berlebihan,-4
berlumpur,-1
bermain,3
bermain-main,-3
bermartabat,4
bermegah,-3
bermoral,5
bermusuhan,-4
bernafsu,-3
bernilai,4
bernyawa,4
berongga,-1
berpendapat,4
berpengaruh,3
berperang,-4
berprestasi,4
berpura-pura,-4
bersaing,1
bersalah,-3
bersantai,-1
bersedih,-2
berselisih,-4
bersemangat,4
bersenjata,-2
berserakan,-4
bersih,5
bersukacita,4
bersumpah,-1
bertabrakan,-2
bertengkar,-4
bertentangan,-2
berturut-turut,-1
berubah-ubah,-1
beruntung,4
berutang,-2
besar,3
betah,3
betul,4
biasa,-2
biaya,-2
bijak,4
bijaksana,5
bilangnya,-2
binasa,-4
binatang,-2
bingung,-3
bisanya,-2
blah,-3
blok,-1
blokir,-4
bloon,-4
blunder,-3
bocor,-3
bodoh,-4
bolos,-4
bom,-4
bonus,3
boros,-4
bosan,-4
brengsek,-5
brillian,5
brutal,-4
buang,-3
buangan,-4
buas,-3
buatan,-2
budek,-4
buktikan,2
bulu,-1
bundaran,1
bunga,4
buntung,-2
buritan,-1
buronan,-4
buruan,-3
buruk,-4
buruknya,-4
busuk,-5
buta,-2
cabul,-5
cacat,-4
cambuk,-1
canggung,-2
cantik,5
cantiknya,4
cawe-cawe,-2
cedera,-2
cekcok,-4
cekikikan,-3
celaan,-4
celaka,-4
celakalah,-5
celoteh,-1
cemas,-3
cemberut,-3
cemburu,-3
cemerlang,4
cemoohan,-4
cepat,4
cerah,4
cercaan,-4
cerdas,5
cerdik,4
ceria,4
ceroboh,-4
cetar,3
cinta,5
cium,3
cobaan,-3
cocok,3
cong,-4
congor,-5
corong,1
cukup,3
cuma,-2
curang,-4
cute,5
dahsyat,4
damai,5
dangkal,-2
dara,3
darurat,-2
dasar,-1
defensif,-3
defisit,-3
delusi,-3
delusional,-4
demam,-3
dendam,-5
dengki,-4
dewasa,4
diakui,3
diam,-1
dibatalkan,-3
dibebaskan,4
dibenarkan,3
dibodohi,-3
